Name,Type,Price,Area,Place_X,Place_Y,Place_Z
海润滨江花园A区 1居室 南卧,1室1厅1卫,2000元/月,25O,台江区,台江万达,海润滨江花园A区
金辉淮安国际住宅区五期泊郡 2室1厅 南,2室1厅1卫,1700元/月,30O,仓山区,福建农林大,金辉淮安国际住宅区五期泊郡
泰禾红峪 1居室 南卧,1室1厅1卫,1300元/月,30O,仓山区,金山公园,泰禾红峪
欣泰花园 1居室 南/北卧,1室0厅1卫,1700元/月,25O,鼓楼区,乌山路,欣泰花园
园 1室1厅 南,1室1厅1卫,1650元/月,49O,鼓楼区,西江滨,洪桥花园
融侨・江南水都悦湖 1室1厅 南,1室1厅1卫,1600元/月,30O,仓山区,闽江大道,融侨・江南水都悦湖
北尚A区 1室1厅 东南,1室1厅1卫,2100元/月,45O,晋安区,新店,北尚A区
天鹅湾 1居室 南卧,1室0厅0卫,1300元/月,30O,仓山区,浦上大道（金山万达）,天鹅湾
公园道1号二期 1室1厅 东/西,1室1厅1卫,1300元/月,45O,仓山区,金山公园,公园道1号二期
金山桔园泰园 1室1厅 南,1室1厅1卫,1250元/月,28O,仓山区,浦上大道（金山万达）,金山桔园泰园
中发印象外滩 1室0厅 南,1室0厅1卫,1388元/月,30O,仓山区,南江滨,中发印象外滩
融信大卫城B区 1室0厅 西,1室0厅1卫,1000元/月,23O,仓山区,金山公园,融信大卫城B区
公园道1号二期 1室0厅 西,1室0厅1卫,900元/月,23O,仓山区,金山公园,公园道1号二期
归壹墅绿园 1室1厅 南,1室1厅1卫,1400元/月,30O,鼓楼区,大儒世家,归壹墅绿园
兰庭新天地 1居室 南卧,1室0厅0卫,1500元/月,20O,仓山区,首山路（师大）,兰庭新天地
阳光凡尔赛宫B2区 1居室 东南卧,1室0厅1卫,1200元/月,25O,台江区,光明港,阳光凡尔赛宫B2区
龙旺理想天街 1居室 南卧,1室0厅1卫,800元/月,15O,闽侯县,福州高新区,龙旺理想天街
博仕后缘墅 1室1厅 南,1室1厅1卫,1100元/月,38O,闽侯县,上街,博仕后缘墅
观风亭新苑二区 1居室 东南卧,1室0厅1卫,2300元/月,18O,鼓楼区,省政府,观风亭新苑二区
海润滨江花园A区 1居室 南卧,1室1厅1卫,2000元/月,25O,台江区,台江万达,海润滨江花园A区
金辉淮安国际住宅区五期泊郡 2室1厅 南,2室1厅1卫,1700元/月,30O,仓山区,福建农林大,金辉淮安国际住宅区五期泊郡
泰禾红峪 1居室 南卧,1室1厅1卫,1300元/月,30O,仓山区,金山公园,泰禾红峪
欣泰花园 1居室 南/北卧,1室0厅1卫,1700元/月,25O,鼓楼区,乌山路,欣泰花园
园 1室1厅 南,1室1厅1卫,1650元/月,49O,鼓楼区,西江滨,洪桥花园
融侨・江南水都悦湖 1室1厅 南,1室1厅1卫,1600元/月,30O,仓山区,闽江大道,融侨・江南水都悦湖
北尚A区 1室1厅 东南,1室1厅1卫,2100元/月,45O,晋安区,新店,北尚A区
天鹅湾 1居室 南卧,1室0厅0卫,1300元/月,30O,仓山区,浦上大道（金山万达）,天鹅湾
公园道1号二期 1室1厅 东/西,1室1厅1卫,1300元/月,45O,仓山区,金山公园,公园道1号二期
金山桔园泰园 1室1厅 南,1室1厅1卫,1250元/月,28O,仓山区,浦上大道（金山万达）,金山桔园泰园
中发印象外滩 1室0厅 南,1室0厅1卫,1388元/月,30O,仓山区,南江滨,中发印象外滩
融信大卫城B区 1室0厅 西,1室0厅1卫,1000元/月,23O,仓山区,金山公园,融信大卫城B区
公园道1号二期 1室0厅 西,1室0厅1卫,900元/月,23O,仓山区,金山公园,公园道1号二期
归壹墅绿园 1室1厅 南,1室1厅1卫,1400元/月,30O,鼓楼区,大儒世家,归壹墅绿园
兰庭新天地 1居室 南卧,1室0厅0卫,1500元/月,20O,仓山区,首山路（师大）,兰庭新天地
阳光凡尔赛宫B2区 1居室 东南卧,1室0厅1卫,1200元/月,25O,台江区,光明港,阳光凡尔赛宫B2区
龙旺理想天街 1居室 南卧,1室0厅1卫,800元/月,15O,闽侯县,福州高新区,龙旺理想天街
博仕后缘墅 1室1厅 南,1室1厅1卫,1100元/月,38O,闽侯县,上街,博仕后缘墅
观风亭新苑二区 1居室 东南卧,1室0厅1卫,2300元/月,18O,鼓楼区,省政府,观风亭新苑二区
